episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
52,0.7494,-7575.2307692307695,43.108333333333334,57.775804661487236,148.3984461709212,763,74,0.017436863086808564,,136.54
53,0.7453,-7590.061538461538,42.63666666666666,53.36165803108808,138.31502590673574,828,71,0.017185491147317305,,105.84163701067615
54,0.7411,-5816.9384615384615,34.16583333333333,44.453663793103445,117.73060344827586,805,72,0.01816275924585004,,89.52602230483271
55,0.737,-6152.076923076923,33.6525,41.90937178166838,121.05252317198764,809,75,0.017821837815067892,,85.57090239410681
56,0.733,-7302.3538461538465,45.2725,56.65592515592515,145.8762993762994,806,78,0.017882110825317786,,114.18760907504362
57,0.7289,-5914.599999999999,35.9275,44.543679342240495,125.23638232271325,860,76,0.01844111023153112,,72.30583873957367
58,0.7249,-7489.030769230771,49.59166666666667,61.21823770491803,145.60553278688525,814,75,0.020267456071374753,,95.9334548769371
59,0.7209,-6884.6461538461535,42.01416666666667,53.434002111932415,135.69165786694825,798,77,0.01972342390396322,,110.59329710144928
60,0.7169,-6298.507692307693,37.056666666666665,47.934689507494646,125.62955032119915,824,74,0.01923776139336499,,93.44690674053555
61,0.7129,-8866.846153846154,57.50083333333333,74.22424892703863,169.07081545064378,755,75,0.019296031742525473,,151.8337639965547
62,0.709,-7214.261538461538,45.72416666666667,60.13100436681223,149.14628820960698,758,80,0.019330246465535533,,112.57090239410681
63,0.705,-6462.092307692308,42.5,52.96690796277146,133.42916235780766,814,78,0.018980763104202145,,86.14692378328742
64,0.7011,-6187.846153846154,36.89416666666666,49.25913621262458,137.4606866002215,774,80,0.018568601814862088,,127.96451319381255
65,0.6973,-7073.107692307693,39.72416666666667,51.55280172413793,143.36206896551724,816,77,0.0208034084197433,,121.08047016274864
66,0.6934,-8411.615384615385,51.59916666666667,69.05672969966629,172.03225806451613,746,82,0.019733574119219187,,140.29493087557603
67,0.6896,-6196.569230769231,34.6825,45.863088718510404,127.85870755750274,803,74,0.017889954011257776,,93.79715639810426
68,0.6858,-8541.907692307694,48.33083333333333,58.658953722334005,160.3661971830986,846,75,0.018915924212770663,,113.84861591695501
69,0.682,-7942.076923076922,48.7225,62.19385593220339,152.260593220339,802,77,0.018358635731682057,,134.6113105924596
70,0.6782,-5830.3538461538465,38.858333333333334,48.501551189245085,129.0124095139607,827,75,0.018125897276106626,,85.28400735294117
71,0.6744,-6262.661538461537,39.21666666666667,48.85552115583075,131.1341589267286,850,76,0.019191981662712777,,87.25727272727272
72,0.6707,-6155.492307692308,39.76833333333333,49.047082906857725,130.82088024564996,868,77,0.018688027718967996,,60.7685009487666
73,0.667,-7797.569230769231,42.2725,55.04859611231102,154.01619870410366,767,78,0.019179922796361444,,113.63308687615528
74,0.6633,-5639.415384615385,34.1975,44.642470205850486,122.75731310942578,800,78,0.019964737724892507,,98.68240740740741
75,0.6596,-7153.738461538462,39.69,50.27568134171908,142.27253668763103,806,75,0.018434201699175718,,105.5243578387954
76,0.656,-5062.0,26.43166666666667,31.865537848605577,112.72310756972112,894,77,0.016715246933650146,,67.36371841155234
77,0.6524,-7848.2307692307695,48.4725,58.955555555555556,147.3808080808081,836,76,0.01809168128338698,,87.63017479300828
78,0.6487,-6896.092307692308,41.31916666666667,50.47826086956522,137.4428715874621,859,75,0.018062994087746396,,107.88646684831971
79,0.6452,-6517.184615384616,36.96083333333333,44.49500998003992,130.43512974051896,875,77,0.017977532611230907,,94.15940766550523
80,0.6416,-7381.96923076923,44.41916666666667,57.022340425531915,133.83617021276595,789,71,0.01744973673719456,,101.95352993744415
81,0.638,-6245.907692307694,45.5,54.667661691542285,130.16218905472635,854,72,0.017665520708877377,,80.79136690647482
82,0.6345,-5685.153846153846,31.548333333333332,38.67071935157041,114.806484295846,872,72,0.017901883421205578,,81.7026291931097
83,0.631,-7014.969230769231,40.5725,51.45846477392219,140.49421661409042,835,77,0.01814261824066453,,110.22641509433963
84,0.6275,-7293.323076923077,44.31583333333333,55.769551616266945,141.22732012513035,828,72,0.018734603166310492,,97.13178984861977
85,0.624,-6807.96923076923,41.39666666666667,52.98726114649681,133.2176220806794,830,75,0.019288877398613114,,117.46548672566372
86,0.6206,-6344.107692307692,33.02583333333333,41.25542916235781,130.88831437435368,838,77,0.017834967289480787,,84.40363636363637
87,0.6171,-5064.261538461539,25.964166666666667,33.489339019189764,115.89445628997868,824,78,0.01753471513471254,,82.86136783733826
88,0.6137,-6343.446153846154,33.836666666666666,41.78549540347293,126.23493360572012,867,76,0.01765794111821534,,94.67828418230563
89,0.6103,-7690.061538461539,46.8925,57.35598377281947,144.56997971602433,851,73,0.016430449502007095,,109.56690777576854
90,0.607,-4872.953846153847,34.04833333333333,41.93564862104188,117.317671092952,861,77,0.01838003294826702,,70.34095063985374
91,0.6036,-5579.63076923077,27.825833333333332,34.72989690721649,113.56082474226804,874,70,0.018316162954413386,,69.7048076923077
92,0.6003,-5597.246153846155,34.32083333333333,43.32322175732217,117.79916317991632,822,76,0.01745650068137214,,80.58085501858736
93,0.5969,-5856.307692307692,29.903333333333332,35.90386521308226,117.66997026759168,872,74,0.016303539861989125,,84.21688888888889
94,0.5936,-5488.338461538463,34.564166666666665,41.861584754262786,120.09729187562688,888,74,0.017315589033910294,,77.28119349005425
95,0.5904,-6426.5999999999985,39.9275,48.25903614457831,134.10642570281124,857,81,0.016922015541561933,,92.57762359063314
96,0.5871,-5132.492307692308,30.350833333333334,37.51020408163265,109.38775510204081,876,73,0.017829216430716027,,67.67604355716878
97,0.5838,-4701.415384615385,23.968333333333334,28.941293532338307,106.20497512437811,895,76,0.016767447025087052,,61.43297101449275
98,0.5806,-5749.876923076923,31.995833333333334,40.874604847207586,119.5658587987355,830,73,0.01688321779368872,,89.85167910447761
99,0.5774,-4978.723076923076,32.325,37.969844357976655,112.76750972762646,885,80,0.016911073527958145,,68.03209019947961
100,0.5742,-7608.4,40.83416666666667,51.39021852237253,143.2185223725286,806,73,0.016880451503651007,,105.07397260273973
101,0.571,-5209.953846153846,27.108333333333334,34.70899470899471,116.38201058201058,859,77,0.01648907850928687,,80.83025830258302
102,0.5679,-4895.907692307692,28.405833333333334,36.30655391120507,110.90486257928119,821,75,0.01745669998176198,,87.97424103035878
103,0.5647,-5635.046153846153,33.123333333333335,40.36868686868687,122.09494949494949,888,78,0.01729583591469142,,71.82867783985103
104,0.5616,-5669.138461538461,30.544166666666666,37.72986748216106,116.14678899082568,862,74,0.01665034067004316,,80.55077767612077
105,0.5585,-5139.923076923076,29.403333333333332,38.6243213897937,117.11074918566776,837,76,0.017275449903208333,,95.58186864014802
106,0.5554,-6397.400000000001,35.221666666666664,42.88631790744467,130.6287726358149,848,76,0.017602004899562956,,76.52493200362647
107,0.5523,-4538.707692307693,25.188333333333333,29.968534906588005,98.50344149459194,926,72,0.016991186642898257,,38.36345966958212
108,0.5493,-4932.461538461538,27.408333333333335,34.364107883817425,112.18775933609959,858,77,0.01641991407584222,,84.75774134790528
109,0.5462,-6181.907692307692,39.30833333333333,48.11663286004057,122.71703853955376,871,73,0.01592443350828459,,83.71790235081374
110,0.5432,-5447.307692307692,30.319166666666668,39.184631803628605,123.65741728922092,857,78,0.016453614301532155,,97.91385767790263
111,0.5402,-4811.015384615384,29.8625,34.937924345295826,105.83996120271581,914,71,0.016634649259151077,,43.96898496240601
112,0.5372,-5254.861538461539,27.954166666666666,33.96076458752515,109.74144869215291,894,74,0.0161452746797178,,50.07142857142857
113,0.5343,-5010.369230769229,29.028333333333332,36.089414182939365,110.49640287769785,854,75,0.016790695347614917,,64.29686013320647
114,0.5313,-5446.861538461538,31.906666666666666,39.660842754367934,116.15210688591984,865,74,0.01668006598909596,,90.32003626473255
115,0.5284,-4696.307692307693,23.488333333333333,28.210474308300395,103.09683794466403,914,75,0.01630448614697599,,49.31180811808118
116,0.5254,-6374.2307692307695,36.24,45.321946169772254,132.5393374741201,870,79,0.0163060919268086,,103.92321589882566
117,0.5225,-6131.692307692308,39.13916666666667,49.26354166666667,127.503125,843,72,0.016898403297711754,,80.02738432483476
118,0.5196,-5201.153846153847,27.3375,33.037810945273634,101.9592039800995,918,65,0.017829169971346457,,51.523853211009175
119,0.5168,-4125.046153846153,23.8,28.079844206426486,90.18500486854917,934,71,0.018326885015076465,,32.625
120,0.5139,-5224.876923076923,27.408333333333335,32.906838453914766,109.36769078295342,865,77,0.02062575611794938,,47.26851851851852
121,0.5111,-5024.923076923076,26.079166666666666,31.880040322580644,108.5866935483871,890,72,0.019408589314186524,,76.28018018018018
122,0.5082,-5610.000000000002,27.88083333333333,35.32463465553236,122.00835073068893,874,74,0.01781857191737528,,90.61754068716094
123,0.5054,-5169.692307692308,27.544166666666666,34.8944618599791,113.29780564263324,852,75,0.017802740139141664,,68.29245283018868
124,0.5026,-5930.4,30.280833333333334,38.27320125130344,119.5912408759124,841,73,0.01711336459509415,,86.10027855153203
125,0.4998,-5639.661538461539,35.4225,42.19704433497537,120.3615763546798,882,70,0.01712330949643277,,61.683317624882186
126,0.4971,-5822.5230769230775,33.19916666666666,42.09338929695698,126.0283315844701,849,77,0.018367194633974605,,91.77464788732394
127,0.4943,-5433.784615384616,28.044166666666666,33.70436507936508,112.5109126984127,885,74,0.018255001431698316,,75.13244444444445
128,0.4916,-5233.984615384615,26.120833333333334,30.559615384615384,105.12115384615385,922,71,0.017293178881008286,,60.68320278503046
129,0.4889,-6410.076923076922,39.22083333333333,47.46138415245737,126.56770310932798,883,76,0.016884621879314495,,87.94713261648745
130,0.4862,-4284.276923076923,21.444166666666668,24.924474187380497,91.35181644359464,934,70,0.017058975450024643,,28.348880597014926
131,0.4835,-4863.046153846154,26.724166666666665,33.10542476970317,107.18935516888433,847,74,0.017038242697350728,,76.39806678383128
132,0.4808,-4118.076923076924,21.645,25.762745098039215,94.29803921568627,913,72,0.016728753331661763,,35.808809746954076
133,0.4781,-5763.6,31.270833333333332,37.862275449101794,115.24251497005989,918,70,0.016119830621932334,,66.06111111111112
134,0.4755,-5813.538461538462,32.090833333333336,39.438453713123096,118.44862665310275,874,74,0.01654599660687519,,60.92
135,0.4729,-5191.153846153846,23.85333333333333,27.950819672131146,104.76470588235294,943,69,0.016478372794561255,,61.46023235031278
136,0.4703,-5213.276923076924,30.48,37.639511201629325,114.95519348268839,872,76,0.01652384553672583,,73.61357466063349
137,0.4677,-5091.661538461539,26.725,34.558510638297875,108.34787234042552,813,72,0.016458175561663544,,56.885024154589374
138,0.4651,-5391.415384615385,30.8975,39.381856540084385,115.45147679324894,860,75,0.015905570399573497,,86.35827876520112
139,0.4625,-5059.707692307691,27.33416666666667,32.103581800580834,102.05033881897386,914,71,0.015765575473619394,,54.2157943067034
140,0.4599,-4922.799999999999,25.613333333333333,31.81930184804928,104.6694045174538,878,68,0.016138094462248776,,61.4087932647334
141,0.4574,-5025.523076923075,26.035,31.373267326732673,110.17128712871288,907,75,0.015995645176506017,,53.68025949953661
142,0.4549,-5177.553846153846,27.7075,35.738297872340425,117.72765957446809,820,79,0.016273882198705753,,93.67902350813743
143,0.4523,-4140.769230769231,22.3725,28.215625,99.88854166666667,840,76,0.015369241520316913,,58.105313092979124
144,0.4498,-5643.799999999999,28.149166666666666,34.231231231231234,114.76776776776777,912,72,0.015824261651348218,,78.15225225225225
145,0.4474,-5888.16923076923,28.751666666666665,34.68818272095333,116.55610724925522,914,70,0.01534896764987651,,69.4216757741348
146,0.4449,-4105.415384615385,21.83,26.698284561049444,94.90615539858729,884,73,0.016855687655473788,,45.30442978322338
147,0.4424,-5835.569230769229,32.0075,39.24012158054711,126.61094224924013,844,80,0.01785558070898138,,91.32627865961199
148,0.44,-4604.661538461539,23.150833333333335,27.184719535783366,100.61508704061896,936,71,0.018480788638758332,,43.03860294117647
149,0.4375,-6310.215384615385,36.770833333333336,42.42160611854685,123.6434034416826,899,75,0.015973261441893077,,65.89241622574956
150,0.4351,-5422.538461538462,27.79,34.2210953346856,115.3103448275862,882,75,0.016501935451608656,,59.70299727520436
151,0.4327,-4791.153846153847,24.591666666666665,29.88542713567839,103.43417085427136,884,71,0.01740107724520245,,57.91332712022367
152,0.4303,-5184.953846153846,31.889166666666668,35.760223048327134,109.32342007434944,946,71,0.017651478381723863,,46.17403065825068
153,0.4279,-4436.323076923076,23.499166666666667,28.67507568113017,101.50454086781029,896,76,0.016142274683841946,,56.91659111514053
154,0.4256,-4915.492307692307,24.65,28.942084942084943,105.08011583011583,935,74,0.015735295159236527,,67.32404181184668
155,0.4232,-6082.415384615385,37.185833333333335,45.041164658634536,127.64357429718875,881,77,0.01663004048022168,,88.29219600725953
156,0.4209,-4372.246153846154,22.475,25.167587476979744,90.00092081031308,971,69,0.016532266020244445,,32.9078947368421
157,0.4185,-5511.923076923075,34.365833333333335,40.33982473222979,119.56669912366115,909,75,0.016021323611912934,,87.1401952085182
158,0.4162,-6098.415384615384,31.826666666666668,39.08805668016194,118.63562753036437,871,71,0.01643973929149274,,83.79266055045872
159,0.4139,-4358.784615384615,22.24416666666667,25.12233549582947,91.8294717330862,969,65,0.016573678525339298,,28.518382352941178
