episode,epsilon,total_reward,avg_queue,avg_wait_s,avg_travel_s,throughput,switches,td_loss,q_table_states,avg_delay_s
29,0.7856,-2343.015384615385,24.776666666666667,77.07012987012988,130.22597402597404,340,82,496.43401663843775,1292,82.86493506493507
30,0.7791,-2244.507692307692,22.446666666666665,77.8840579710145,128.63768115942028,295,81,436.75636927691056,1304,81.85310734463278
31,0.7726,-2503.6307692307696,28.441666666666666,101.41666666666667,153.47619047619048,292,80,558.3151600168255,1345,104.5072463768116
32,0.7662,-1919.246153846154,18.819166666666668,62.20165745856354,111.7182320441989,326,85,366.35357766601925,1366,63.5
33,0.7599,-2356.723076923077,24.785833333333333,79.63002680965147,133.57372654155495,319,82,500.4973532551416,1385,103.55495978552278
34,0.7536,-2330.846153846154,24.461666666666666,84.43515850144092,132.40057636887607,293,80,458.19652995800345,1406,89.68144044321329
35,0.7473,-2379.1076923076926,21.5175,70.94214876033058,122.02479338842976,318,79,460.9092663313498,1425,70.5256064690027
36,0.7411,-2533.3076923076924,28.164166666666667,101.30930930930931,155.55855855855856,285,80,517.4398697452167,1441,104.41369047619048
37,0.735,-2210.6153846153843,22.386666666666667,77.67536231884058,128.55652173913043,303,83,433.373937997757,1457,78.73563218390805
38,0.7289,-2070.9384615384615,22.54,82.54434250764525,130.14678899082568,273,86,437.6778779297523,1469,84.91569767441861
39,0.7229,-2140.230769230769,21.086666666666666,70.90449438202248,118.96910112359551,316,82,416.8248547081255,1486,77.15135135135135
40,0.7169,-2626.292307692308,27.628333333333334,85.75388601036269,136.37046632124353,322,79,536.9178542661155,1498,94.52849740932642
41,0.7109,-1635.4,17.17,57.53781512605042,104.5406162464986,304,83,245.99847007695342,1518,60.095238095238095
42,0.705,-2210.630769230769,24.634166666666665,81.71468144044321,136.14127423822714,318,84,472.40945440722345,1529,91.86125654450262
43,0.6992,-1965.876923076923,21.2125,70.73537604456824,117.016713091922,306,82,408.58809193560415,1547,71.63586956521739
44,0.6934,-2211.2,22.06,79.31231231231232,127.24924924924925,281,80,383.11967336805765,1563,84.45266272189349
45,0.6877,-2484.938461538461,23.309166666666666,74.80697050938338,123.73458445040214,328,81,537.8670089813221,1574,74.64
46,0.682,-2114.9230769230767,21.545,71.63055555555556,119.175,307,83,437.4279208015872,1589,73.23218997361478
47,0.6763,-1980.107692307692,19.5075,63.97534246575343,116.66027397260274,319,82,366.46565376935587,1596,65.58510638297872
48,0.6707,-2623.3230769230763,29.54083333333333,98.83240223463687,155.0,312,81,625.9952572110057,1612,101.64207650273224
49,0.6651,-2713.876923076923,29.85333333333333,94.84880636604774,152.6684350132626,326,83,625.7428778070237,1619,108.83641160949868
50,0.6596,-2111.2,20.94333333333333,69.85236768802228,115.90529247910864,311,82,406.5633947985449,1640,71.17391304347827
51,0.6542,-2051.353846153846,24.80666666666667,85.15472779369628,137.60171919770772,302,82,365.5809958967854,1645,121.50716332378224
52,0.6487,-2096.846153846154,18.590833333333332,60.607629427792915,107.0817438692098,323,82,391.37809673079613,1656,60.87193460490463
53,0.6434,-2720.6153846153843,33.23083333333334,105.35449735449735,160.77777777777777,312,83,709.1976689711454,1665,132.3562005277045
54,0.638,-1798.4307692307693,17.795833333333334,63.73952095808383,107.96407185628742,286,81,289.2167922088611,1686,66.11904761904762
55,0.6327,-2405.8461538461543,26.0825,90.28034682080924,145.13005780346822,291,82,528.3066923243034,1699,91.04683195592287
56,0.6275,-2351.046153846154,25.581666666666667,84.1510989010989,141.00274725274724,325,84,506.88721301395395,1713,91.84696569920844
57,0.6223,-1583.723076923077,14.605833333333333,51.05555555555556,96.23099415204679,311,85,259.1446221147068,1722,51.219298245614034
58,0.6171,-2127.0153846153844,21.935833333333335,76.34593023255815,129.08139534883722,305,81,393.9300522743816,1734,91.28612716763006
59,0.612,-1926.7846153846156,21.109166666666667,71.58073654390935,119.97733711048159,309,85,397.25097547663376,1740,71.98382749326146
60,0.607,-1594.3846153846152,16.23,55.333333333333336,101.55555555555556,300,83,242.8745376772627,1765,57.08683473389356
61,0.6019,-2656.2153846153847,27.61,86.8005249343832,143.35433070866142,332,80,605.6468622308436,1779,94.2890625
62,0.5969,-2620.984615384615,25.616666666666667,83.14363143631437,138.01355013550136,314,78,533.7052262803887,1784,86.11578947368422
63,0.592,-2590.184615384616,26.386666666666667,84.04787234042553,136.54255319148936,320,81,610.6117068266775,1812,88.81538461538462
64,0.5871,-2318.9538461538464,27.008333333333333,87.42432432432433,138.75675675675674,312,85,490.8592238921886,1818,95.95174262734585
65,0.5822,-2605.292307692308,26.5,87.17857142857143,138.68406593406593,310,79,542.8959424949591,1826,90.12228260869566
66,0.5774,-2587.753846153846,28.595833333333335,88.9974025974026,140.77142857142857,334,82,603.5154133638619,1830,108.24155844155844
67,0.5726,-2049.923076923077,22.2925,78.05555555555556,133.05847953216374,285,81,395.90595004716903,1842,102.3157894736842
68,0.5679,-2330.830769230769,22.706666666666667,71.34120734908136,122.85826771653544,336,84,509.9211059631755,1849,71.94750656167979
69,0.5632,-1689.8153846153848,14.873333333333333,49.938202247191015,94.25842696629213,322,81,255.87090716115893,1862,50.12359550561798
70,0.5585,-1922.5846153846153,18.7325,62.448467966573816,109.46239554317549,310,84,341.7784807013372,1868,63.12737127371274
71,0.5539,-2082.0461538461536,20.944166666666668,67.92682926829268,117.32249322493224,325,81,396.6402855114911,1881,75.67098445595855
72,0.5493,-1995.9384615384615,21.294166666666666,78.6820987654321,124.11111111111111,275,84,399.0320993147621,1906,79.94444444444444
73,0.5447,-2202.861538461538,25.159166666666668,83.24033149171271,137.61049723756906,313,84,468.5258743961033,1909,90.75549450549451
74,0.5402,-2336.0923076923077,25.919166666666666,83.0187165775401,134.22192513368984,313,82,524.8113359045576,1913,100.25065274151436
75,0.5357,-1919.3538461538465,20.265833333333333,70.53197674418605,117.26744186046511,313,81,340.91208989644036,1916,71.11634349030471
76,0.5313,-2483.3692307692304,24.883333333333333,82.53739612188366,135.3102493074792,317,83,564.941647534371,1919,83.712
77,0.5269,-2325.3692307692304,24.809166666666666,81.85674931129476,132.14325068870522,302,81,536.7231505753953,1932,86.70967741935483
78,0.5225,-2180.446153846154,23.675833333333333,77.69589041095891,127.32054794520548,309,83,453.2792119310393,1937,85.74794520547945
79,0.5182,-1925.353846153846,19.976666666666667,69.10693641618496,115.19942196531792,294,80,310.3702809848043,1951,79.94444444444444
80,0.5139,-2092.9846153846156,22.714166666666667,75.7715877437326,126.62116991643454,313,82,422.95086249884207,1960,81.3259052924791
81,0.5096,-2068.4615384615386,20.579166666666666,65.52393617021276,113.32978723404256,336,80,372.0827748646357,1967,69.42
82,0.5054,-1859.5538461538463,15.610833333333334,54.12173913043478,96.51304347826087,309,79,295.6569904370202,1982,54.33623188405797
83,0.5012,-1818.4769230769227,17.715833333333332,60.72492836676218,105.14899713467048,300,83,319.42767052928195,1988,60.55742296918768
84,0.4971,-2438.0307692307692,25.335833333333333,81.78975741239893,132.09973045822102,313,76,463.9767579439116,1989,97.10933333333334
